"DOCUMENTIDENTIFIER","DOCUMENTTYPE","CANONICALPATH"
AWCT38539,ControlTestWorkPaper,/32 - Wells Fargo CEO Users-Report.pdf
AWCT38539,ControlTestWorkPaper,/32 - WF_SALEBUILD_User_Summary_Report (December - Oliver Deng).xlsx
AWCT38539,ControlTestWorkPaper,/33 - HFDC Bank.JPG
AWCT38539,ControlTestWorkPaper,/34 - HSBC December - Oliver Deng.jpg
AWCT38539,ControlTestWorkPaper,/34 - HSBC.JPG
AWCT38539,ControlTestWorkPaper,/34 - HSBC1.JPG
AWCT38539,ControlTestWorkPaper,/34 - HSBC2.JPG
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.6_Ziff Davis - US TE Expense Reimbursement Policy (Updated April 2015) (2).pdf
AWCT38339,ControlTestWorkPaper,/CS01/CS01_Detailed Testing Sheet_Final.xlsx
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.7_Ziff Davis - UK TE Expense Reimbursement Policy (Updated April 2015).pdf
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.8_Ziff Davis - CAD TE Expense Reimbursement Policy (April 2015).pdf
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.9_Ziff Davis - AUD TE Expense Reimbursement Policy (April 2015).pdf
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.10_ZD Credit Memo Policy_Final_July 2014_2 (2).pdf
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.11_System Access Request Form.xlsx
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.12_Ziff Davis - Credit Approval Policy For New Customers FINAL_August 2016 (2).pdf
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.13_Ziff Davis Revenue Recognition Policy - FINAL (2).pdf
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.14_Ziff Davis Travel and Entertainment Expense Reimbursement Policy_India_9.2016_Final.pdf
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05.15_Ziff Davis Travel and Entertainment Expense Reimbursement Policy_PHP_9.2016_Final.pdf
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05_A_Jive Path.xlsx
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05_B_Policies and Procedures Chart.xlsx
AWCT38685,ControlTestWorkPaper,/ELC05/ELC05_C_FW Updated IT Change Management Policy - Please Distribute to your Teams.msg
AWCT38563,ControlTestWorkPaper,/IT15.3.3 - SFTM Prod.png
AWCT38563,ControlTestWorkPaper,/IT15.3.4 - SF Sandbox.png
AWCT37927,ControlTestWorkPaper,/R06.8/Meeting Minutes/R06.8.1.5_Meeting Invites.xlsx
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.01/AP03.1A-Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.02/AP03.2A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.01/AP03.1B- NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.01/AP03.1C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.03/AP03.3A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.02/AP03.2B- NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.02/AP03.2C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.04/AP03.4A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.03/AP03.3B- Netsuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.03/AP03.3C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.05/AP03.5A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.04/AP03.4B- NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.04/AP03.4C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.06/AP03.6A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.05/AP03.5B-NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.05/AP03.5C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.07/AP03.7A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.06/AP03.6B- NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.06/AP03.6C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.08/AP03.8A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.07/AP03.7B- NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.07/AP03.7C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.09/AP03.9A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.08/AP03.8B- NetSuite Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.08/AP03.8C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.10/AP03.10A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.09/AP03.9B- NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.09/AP03.9C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.11/AP03.11A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.10/AP03.10B- NetSuite Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.10/AP03.10C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.14/AP03.14A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.11/AP03.11B- NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.11/AP03.11C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.12/AP03.12A- Email Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.14/AP03.14B- NetSuite Bill.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.14/AP03.14C- Invoice Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.13/AP03.13A- Invoice Approval.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.12/AP03.12B- NetSuite Bill Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.12/AP03.12C- Invoice Copy.pdf
AWCT38218,ControlTestWorkPaper,/R01.5 Contracts/R01.5-46 Everstring.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.13/AP03.13B- NetSuite Bill Copy.pdf
AWCT37688,ControlTestWorkPaper,/AP03 Offers (Remediation) Final Testing/AP03.13/AP03.13C- Invoice Coppy.pdf
AWCT38519,ControlTestWorkPaper,/IT35.1 - Walkthrough of Salesforce to Operative One Interface.pdf
AWCT38613,ControlTestWorkPaper,/P13.4 June 2016 - ZD & IGN US Payroll Reconciliation.xlsx
AWCT38218,ControlTestWorkPaper,/R01.5 Contracts/R01.5-47 SolarWinds LOGICnow Q4 Contract.pdf
AWCT38613,ControlTestWorkPaper,/P13.1 June 2016 - AM & NS CAD Payroll Reconciliation.xlsx
AWCT38613,ControlTestWorkPaper,/P13.2 June 2016 - IGN UK Payroll Reconciliation.xlsx
AWCT38613,ControlTestWorkPaper,/P13.3 June 2016 - ZD RI Payroll Reconciliation.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_A - CCRs and Approvals/R06.15_A.1_Campaign Closure Report and Approval_February.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_A - CCRs and Approvals/R06.15_A.1a__CCR Approval E-mail.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_A - CCRs and Approvals/R06.15_A.2_Campaign Closure Report and Approval_May.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_A - CCRs and Approvals/R06.15_A.2a_CCR Approval E-mail.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_A - CCRs and Approvals/R06.15_A.3_Campaign Closure Report and Approval_June.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_A - CCRs and Approvals/R06.15_A.3a_CCR Approval E-mail.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/01.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/01.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/03.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/04.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/05.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/07.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/09.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/10.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/12.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/14.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/15.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/16.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/17.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/18.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/20.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/21.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/22.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/23.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/24.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/25.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/26.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/27.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/28.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/29.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/30.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/31.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/32.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/33.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/34.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_B - Lead Delivery Records/35.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/27 - Evidence of Date Order Was Received from ML.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/02 - IC Confirmation Report.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/03 - E-mail Sales Order Establishing Project Budget and White Papers.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/03 - Madison Logic Detail Attached to E-mail.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/04 - salesify 02052016.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/05 - qed emc 19033.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/06 - IC Confirmation Report.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/07 - Salesify 02122016.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/08 - IC Confirmation Report.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/09.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/10 - salesify cisco incremental.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/11 -  IC Confirmation Report (Soft Copy).xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/11 -IC Confirmation Report.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/12 - salesify akamai 11239 may.xlsx
AWCT37284,ControlTestWorkPaper,"/R06.15_C - Customer Orders/13, 19 - IC Confirmation Report.xlsx"
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/14 - Salesify 05052016.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/15.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/16.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/17.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/18.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/19.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/20.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/21 - Salesify 05182016.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/22 - Evidence of Order Receipt in June.JPG
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/23 - salesify rsam.xlsx
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/24 - Madison Logic Online Reservation.JPG
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/25.pdf
AWCT37284,ControlTestWorkPaper,/R06.15_C - Customer Orders/26 - Madison Logic Online Reservation.JPG
AWCT38206,ControlTestWorkPaper,/1 - DC_e-media.co.uk/A - Q2 Instructions.pdf
AWCT38206,ControlTestWorkPaper,/6 - DC_zdb2b.local/A - Q3 Instructions.pdf
AWCT38206,ControlTestWorkPaper,/1 - DC_e-media.co.uk/Approval_Nicole Dunn.msg
AWCT38206,ControlTestWorkPaper,/1 - DC_e-media.co.uk/B - emedia 061616.xlsx
AWCT38206,ControlTestWorkPaper,/1 - DC_e-media.co.uk/C - Approval_Nicole Dunn.pdf
AWCT38206,ControlTestWorkPaper,/2 - DC_e-media.co.uk/A - Q3 Instructions.pdf
AWCT38206,ControlTestWorkPaper,/2 - DC_e-media.co.uk/Approval_Nicole Dunn.msg
AWCT38206,ControlTestWorkPaper,/2 - DC_e-media.co.uk/B - emedia 092016.xlsx
AWCT38206,ControlTestWorkPaper,/2 - DC_e-media.co.uk/C - Approval Nicole Dunn.pdf
AWCT38206,ControlTestWorkPaper,/3 - DC_ziffdavis.local/A - Q2 Instructions.pdf
AWCT38206,ControlTestWorkPaper,/3 - DC_ziffdavis.local/Approval_Scott Perlin.msg
AWCT38206,ControlTestWorkPaper,/3 - DC_ziffdavis.local/B - zdlocal 061616 - HR Review.xlsx
AWCT38206,ControlTestWorkPaper,/3 - DC_ziffdavis.local/C - Approval Scott Perlin.pdf
AWCT38206,ControlTestWorkPaper,/4 - DC_ziffdavis.local/A - Q2 Instructions.pdf
AWCT38206,ControlTestWorkPaper,/4 - DC_ziffdavis.local/Approval_Scott Perlin.msg
AWCT38206,ControlTestWorkPaper,/4 - DC_ziffdavis.local/B - zdlocal 061616 - HR Review.xlsx
AWCT38206,ControlTestWorkPaper,/4 - DC_ziffdavis.local/C - Approval Scott Perlin.pdf
AWCT38206,ControlTestWorkPaper,/5 - DC_zdb2b.local/A - Q2 Instructions.pdf
AWCT38206,ControlTestWorkPaper,/5 - DC_zdb2b.local/Approval_Yolanda Gloria.msg
AWCT38206,ControlTestWorkPaper,/5 - DC_zdb2b.local/B - b2b 061616.xlsx
AWCT38206,ControlTestWorkPaper,/5 - DC_zdb2b.local/B - b2b 062316.xlsx
AWCT38206,ControlTestWorkPaper,/5 - DC_zdb2b.local/C - Approval Yolanda Gloria.pdf
AWCT38214,ControlTestWorkPaper,/1 - Q2 - One Login_Ookla/A - Q2 Instructions.pdf
AWCT38206,ControlTestWorkPaper,/6 - DC_zdb2b.local/Approval_Scott Perlin.msg
AWCT38206,ControlTestWorkPaper,/6 - DC_zdb2b.local/B - b2b HR Review 092016.xlsx
AWCT38206,ControlTestWorkPaper,/6 - DC_zdb2b.local/C - Approval Scott Perlin.pdf
AWCT38214,ControlTestWorkPaper,/IT01.04_Testing_Final_November 2016.xlsx
AWCT38214,ControlTestWorkPaper,/2 - Q3 - One Login_Ookla/A - Q3 Instructions.pdf
AWCT38214,ControlTestWorkPaper,/1 - Q2 - One Login_Ookla/Approval_Luke Deryckx.msg
AWCT38214,ControlTestWorkPaper,/1 - Q2 - One Login_Ookla/B - user_details_report (June 2016) - Excel Version.xlsx
AWCT38214,ControlTestWorkPaper,/1 - Q2 - One Login_Ookla/B - user_details_report (June 2016).csv
AWCT38214,ControlTestWorkPaper,/1 - Q2 - One Login_Ookla/C - Approval - Luke Deryckx.pdf
AWCT38306,ControlTestWorkPaper,/1 - Q2 NetSuite/A - Q2 Instructions.pdf
AWCT38214,ControlTestWorkPaper,/2 - Q3 - One Login_Ookla/B - user_details_report (2) - Excel Version.xlsx
AWCT38214,ControlTestWorkPaper,/2 - Q3 - One Login_Ookla/B - user_details_report (2).csv
AWCT38214,ControlTestWorkPaper,/2 - Q3 - One Login_Ookla/C - Approal Luke Deryckx.pdf
AWCT38214,ControlTestWorkPaper,/2 - Q3 - One Login_Ookla/Re  Need your files!!!!.msg
AWCT38306,ControlTestWorkPaper,/2 - Q3 NetSuite/A - Q3 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/1 - Q2 NetSuite/Approval_Roger Miller.msg
AWCT38306,ControlTestWorkPaper,/1 - Q2 NetSuite/B - Q2 2016 - NetSuite User Access Review.xlsx
AWCT38306,ControlTestWorkPaper,/1 - Q2 NetSuite/C - Approval E-Mail.pdf
AWCT38306,ControlTestWorkPaper,/10 - Q3 ADP/A - Q3 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/10 - Q3 ADP/Approval_Roger Miller.msg
AWCT38306,ControlTestWorkPaper,/10 - Q3 ADP/B - Q3 2016 - ADP User Access Review.docx
AWCT38306,ControlTestWorkPaper,/10 - Q3 ADP/B - ziffdavis_UserInformationReport_08-25-2016-115407.pdf
AWCT38306,ControlTestWorkPaper,/10 - Q3 ADP/C - Approval e-mail.pdf
AWCT38306,ControlTestWorkPaper,/4 - Q3 CashPro_BOA/A - Q3 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/2 - Q3 NetSuite/Approval_Roger Miller.msg
AWCT38306,ControlTestWorkPaper,/2 - Q3 NetSuite/B - Q3 2016 - NetSuite User Access Review.xlsx
AWCT38306,ControlTestWorkPaper,/2 - Q3 NetSuite/C - Approval E-Mail.pdf
AWCT38306,ControlTestWorkPaper,/3 - Q2 CashPro_BOA/A - Q2 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/3 - Q2 CashPro_BOA/B - Q2 2016 - B of A CashPro User Access Review.docx
AWCT38306,ControlTestWorkPaper,/3 - Q2 CashPro_BOA/B - User_Entitlement_Report_ziffdavi_2016628_41631PM_96.pdf
AWCT38306,ControlTestWorkPaper,/3 - Q2 CashPro_BOA/C - Approval Email.pdf
AWCT38306,ControlTestWorkPaper,/3 - Q2 CashPro_BOA/Q2 2016 - User Access Review - CashPro.msg
AWCT38306,ControlTestWorkPaper,/5 - Q2 Chase Online Banking/A - Q2 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/4 - Q3 CashPro_BOA/Approval_Roger Miller.msg
AWCT38306,ControlTestWorkPaper,/4 - Q3 CashPro_BOA/B - Account_Entitlement_Report_ziffdavi_20151116_55134PM_81.pdf
AWCT38306,ControlTestWorkPaper,/4 - Q3 CashPro_BOA/B - Q3 2016 - B of A CashPro User Access Review.docx
AWCT38306,ControlTestWorkPaper,/4 - Q3 CashPro_BOA/C - Approval E-mail.pdf
AWCT38306,ControlTestWorkPaper,/5 - Q2 Chase Online Banking/Approval_Roger Miller.msg
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-1.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-2a CACW.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-2B CACW Make Good Client Approval Captain America_ Civil War.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-3 Destiny Rise of Iron.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-4 PS Now.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-5A PS Hardware.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-5B PS Hardware Change Order.xlsx
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-5C Client Change Approval via Email.PNG
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-6A Shadowverse.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-6B Shadowverse Change Order Snapchat.xlsx
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-6C Shadowverse Client Approval - Change Order.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-7 Neighbors 2 BBDVD.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-8 Taco Bell E8 Box.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-9 Shadowverse.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-10 Gotham S3 CSIO.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-11 Forza Horizon 3.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-12 Taco Bell E8 Box.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-13 Forza Horizon 3.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-14a The Witcher3_GOTY.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-14bThe Witcher3_GOTY - Client approval to Bill in Full.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-16 Gotham S3 CSIO.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-17 5HE.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-18 PS Hardware.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-19_Luke Cage.pdf
AWCT37931,ControlTestWorkPaper,/D- Contracts/R06.4-20_Xmen.pdf
AWCT38306,ControlTestWorkPaper,/7 - Q2 Wells Fargo/A - Q2 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/5 - Q2 Chase Online Banking/B - Q2 2016 - Chase User Access Review.docx
AWCT38306,ControlTestWorkPaper,/5 - Q2 Chase Online Banking/B - Screen Shot 1.jpg
AWCT38306,ControlTestWorkPaper,/5 - Q2 Chase Online Banking/B - Screen Shot 2.jpg
AWCT38306,ControlTestWorkPaper,/5 - Q2 Chase Online Banking/C - Approval Email.pdf
AWCT38306,ControlTestWorkPaper,/6 - Q3 Chase Online Banking/A - Q3 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/6 - Q3 Chase Online Banking/B - Chase Online - Assign access 09.22.16.pdf
AWCT38306,ControlTestWorkPaper,/6 - Q3 Chase Online Banking/B - Q3 2016 - Chase User Access Review.docx
AWCT38306,ControlTestWorkPaper,/6 - Q3 Chase Online Banking/C - Approval E-mail.pdf
AWCT38306,ControlTestWorkPaper,/6 - Q3 Chase Online Banking/Q3 2016 User Access Review - Chase.msg
AWCT38306,ControlTestWorkPaper,/IT01.07_Testing_Final_November 2016.xlsx
AWCT38306,ControlTestWorkPaper,/7 - Q2 Wells Fargo/B - Q2 '16 Wells Fargo User Entitlements by Account.pdf
AWCT38306,ControlTestWorkPaper,/7 - Q2 Wells Fargo/B - Q2 2016 - Wells Fargo CEO User Access Review.docx
AWCT38306,ControlTestWorkPaper,/7 - Q2 Wells Fargo/B - User Summary Report.pdf
AWCT38306,ControlTestWorkPaper,/7 - Q2 Wells Fargo/C - Approval E-mail.pdf
AWCT38306,ControlTestWorkPaper,/7 - Q2 Wells Fargo/Q2 2016 - User Access Review - Wells Fargo (Offers).msg
AWCT38306,ControlTestWorkPaper,/8 - Q3 Wells Fargo/A - Q3 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/8 - Q3 Wells Fargo/B - Q3 '16 Wells Fargo Entitlements by User.pdf
AWCT38306,ControlTestWorkPaper,/8 - Q3 Wells Fargo/B - Q3 '16 Wells Fargo User Entitlements by Account.pdf
AWCT38306,ControlTestWorkPaper,/8 - Q3 Wells Fargo/B - Q3 2016 - Wells Fargo CEO User Access Review.docx
AWCT38306,ControlTestWorkPaper,/8 - Q3 Wells Fargo/C - Approval E-mail.pdf
AWCT38306,ControlTestWorkPaper,/8 - Q3 Wells Fargo/Q3 2016 User Access Review - WF CEO (Offers).msg
AWCT38306,ControlTestWorkPaper,/9 - Q2 ADP/A - Q2 Instructions.pdf
AWCT38306,ControlTestWorkPaper,/9 - Q2 ADP/Approval_Diane Malanowski.msg
AWCT38306,ControlTestWorkPaper,/9 - Q2 ADP/Approval_Roger Miller.msg
AWCT38306,ControlTestWorkPaper,/9 - Q2 ADP/B - Q2 2016 - ADP User Access Review.docx
AWCT38306,ControlTestWorkPaper,/9 - Q2 ADP/B - ziffdavis_UserInformationReport_06-10-2016-165738.pdf
AWCT38306,ControlTestWorkPaper,/9 - Q2 ADP/C - Approval - Diane Malanowski.pdf
AWCT38306,ControlTestWorkPaper,/9 - Q2 ADP/C - Approval - Roger Miller.pdf
AWCT38256,ControlTestWorkPaper,/6 - Q3 DC_Salesify PHP/C - Approval Shubham Javieri.pdf
AWCT38256,ControlTestWorkPaper,/7 - Q3 DC_Salesify RWC/Approval_Shubham Jhaveri.msg
AWCT38256,ControlTestWorkPaper,/8 - Q3 One Login_Salesify/Approval_Shubham Jhaveri.msg
AWCT38256,ControlTestWorkPaper,/7 - Q3 DC_Salesify RWC/B - RWC_AD_Users.xlsx
AWCT38256,ControlTestWorkPaper,/7 - Q3 DC_Salesify RWC/C - Approval Shubham Javieri.pdf
AWCT38256,ControlTestWorkPaper,/8 - Q3 One Login_Salesify/C - Approval Shubham Javieri.pdf
AWCT38256,ControlTestWorkPaper,/8 - Q3 One Login_Salesify/B - One login Active Users_Report 22.09.2016.xlsx
AWCT38362,ControlTestWorkPaper,/Netsuite User Access Listing_8.23.2016.xlsx
AWCT38300,ControlTestWorkPaper,/P16A.pdf
AWCT38425,ControlTestWorkPaper,/Requests from BDO/RE  Term Notice Support.msg
